Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1779420602893989.955	,1779420602893989.955	
0,_Z22elementwise_add_kernelPhS_S_,AI_VECTOR_CORE,46,0,13.320,1779420602901865.633	,1779420602901878.953	
0,N/A,PROFILING_DISABLE,49,4,0.000,1779420602903197.919	,1779420602903197.919	
0,N/A,PLACE_HOLDER_SQE,49,5,0.000,1779420602903253.340	,1779420602903253.340	
